version,code,description,release_date
"",289949002,Polline di cipresso,2019-06-20
"",256305004,Resina dell'albero,2019-06-20
"",12510000,Olio di eucalipto,2019-06-20
"",102262009,Cioccolato,2019-06-20
"",412069004,Agente aromatizzante,2019-06-20
"",116273005,Sostanza alimento,2019-06-20
"",264337003,seme,2019-06-20
"",412156001,Seta,2019-06-20
"",256259004,Polline,2019-06-20
"",2799001,Methylbenzethonium chloride,2019-06-20
"",260126003,Polline d'oliva,2019-06-20
"",406771001,Solfito e / o derivato di solfito,2019-06-20
"",406473004,Contatto allergeni,2019-06-20
"",47703008,Lattosio,2019-06-20
"",44027008,Frutti di mare,2019-06-20
"",13577000,Noce,2019-06-20
"",261243003,Ottone,2019-06-20
"",23182003,Cereale,2019-06-20
"",260156007,Proteine ??????delle urine del mouse,2019-06-20
"",41967008,Argento,2019-06-20
"",278840001,Prodotto gamberetti,2019-06-20
"",419420009,Anguria,2019-06-20
"",116637007,Antigene fungino,2019-06-20
"",67324005,Riso,2019-06-20
"",391737006,Olio di mandorle,2019-06-20
"",260172004,Aglio - alimento,2019-06-20
"",51905005,Mostarda,2019-06-20
"",59545008,pesticida,2019-06-20
"",226760005,Prodotti lattiero-caseari,2019-06-20
"",256349002,Arachide - alimento,2019-06-20
"",256419000,Epitelio del topo,2019-06-20
"",256327008,Pomodoro - alimento,2019-06-20
"",14423008,Benda adesiva,2019-06-20
"",256277009,Polline d'erba,2019-06-20
"",227444000,lamponi,2019-06-20
"",255667006,Paraffina,2019-06-20
"",289122001,Materiale cosmetico,2019-06-20
"",260177005,Melone,2019-06-20
"",42416001,Lanolina,2019-06-20
"",227344001,Fava - alimento,2019-06-20
"",264287008,Peli di animali,2019-06-20
"",256417003,Pelo di cavallo,2019-06-20
"",412160003,Allergene di sutura,2019-06-20
"",406774009,Acido grasso omega 3 derivato dal pesce,2019-06-20
"",227037002,Pesce - alimento,2019-06-20
"",61789006,Tintura,2019-06-20
"",66925006,Rame,2019-06-20
"",264295007,Proteine ??????del latte vaccino,2019-06-20
"",116549003,Pesticidi organoclorurati,2019-06-20
"",7791007,Proteine ??????di soia,2019-06-20
"",33008008,Polvere,2019-06-20
"",33396006,Nichel,2019-06-20
"",256310000,Ciliegia - alimento,2019-06-20
"",418920007,Agente adesivo,2019-06-20
"",418785009,Profumo,2019-06-20
"",260153004,Cacca di mucca,2019-06-20
"",419633007,Paraffina bianca,2019-06-20
"",14402002,Legna,2019-06-20
"",256323007,Cipolla - alimento,2019-06-20
"",72511004,Frutta,2019-06-20
"",303315009,Veleno del ragno,2019-06-20
"",11894001,Tossina botulinica da Clostridium,2019-06-20
"",395922006,Alcoli di lana,2019-06-20
"",230031005,Aragosta - alimento,2019-06-20
"",43735007,Zolfo,2019-06-20
"",59351004,Citrato,2019-06-20
"",387398009,Resina Podophyllum,2019-06-20
"",31006001,Plantae del Regno,2019-06-20
"",260118006,Polline da parete,2019-06-20
"",415710007,terpene,2019-06-20
"",260154005,Peli di cane,2019-06-20
